city_name,city_country_code,city_id,city_lat,city_lng,city_max_temp,city_humidity,city_cloud_cover,city_wind_speed,record_dt
Mae Sot,TH,1152188,16.72,98.57,79.06,59,0,2.04,1524317422
Benemerito de las Americas,MX,3816362,16.52,-90.64,78.79,74,20,3.09,1524317422
Bull Savanna,JM,3491161,17.89,-77.59,83.47,66,8,4.21,1524317423
Cacahuatepec,MX,3531263,16.89,-99.61,75.2,78,5,2.24,1524314460
Wagar,SD,364027,16.15,36.2,104.35,10,0,7.9,1524317424
Pho Chai,TH,1607635,16.33,103.77,84.2,70,20,4.7,1524315600
Ponta do Sol,CV,3374346,17.2,-25.09,67.36,100,92,17.36,1524317424
Ewa Beach,US,5855051,21.32,-158.01,73.4,77,1,4.7,1524315420
Santa Maria,CV,3374218,16.6,-22.9,77.0,50,75,18.34,1524315600
Puri,IN,1259184,19.8,85.85,89.6,70,20,17.22,1524313800
Niltepec,MX,3522728,16.57,-94.62,76.63,87,32,9.31,1524317427
Gao,ML,2457163,16.28,-0.04,102.91,11,0,9.57,1524317427
Nouakchott,MR,2377450,18.08,-15.98,67.36,94,0,13.56,1524317427
Lom Sak,TH,1609043,16.78,101.24,71.23,90,8,1.86,1524317427
Guhagar,IN,1270779,17.48,73.19,85.27,76,0,13.67,1524317428
Sabya,SA,102651,17.15,42.62,93.2,59,20,11.41,1524315600
Najran,SA,103630,17.54,44.22,96.8,16,40,6.93,1524315600
Mae Ramat,TH,1152202,16.98,98.52,79.06,59,0,2.04,1524317429
Veraval,IN,1253237,20.9,70.37,83.38,66,0,13.15,1524317429
Nara,ML,6779095,15.17,-7.29,104.17,18,0,6.78,1524317429
Saint-Francois,GP,3578441,16.25,-61.27,84.2,58,90,13.87,1524315600
Timbuktu,ML,2449067,16.77,-3.01,103.36,14,0,4.99,1524317430
Benito Soliven,PH,1725572,16.98,121.96,73.66,87,8,3.04,1524317430
Pathein,MM,1328421,16.78,94.73,81.04,78,0,8.01,1524317430
Bilma,NE,2446796,18.69,12.92,104.89,11,0,4.72,1524317430
